PeLPA0,PeLPA20,PeLPA40,,
71.684,81.356,88.522,,
13.29,11.496,15.54,,
10.182,11.554,13.218,,
9.602,11.32,12.616,,
11.704,11.292,12.458,,
8.524,11.356,12.394,,
9.468,11.132,12.284,,
9.362,11.21,11.97,,
8.612,11.382,12.16,,
7.52,11.332,12.364,,
