PeLPA0,PeLPA20,PeLPA40,,,
133.484,349.581,444.124,,,
33.68,83.68,103.56,,,
23.372,53.372,78.98,,,
21.798,33.898,45.341,,,
20.268,30.368,40.149,,,
18.38,26.38,42.54,,,
17.178,25.55,38.57,,,
17.026,27.314,37.123,,,
16.706,26.81,36.94,,,
15.66,21.67,31.36,,,
