PeLPA0,PeLPA20,PeLPA40
3.91612E-11,1.5317E-10,2.16568E-08
5.88126E-11,2.99963E-10,3.25053E-08
6.6647E-11,3.34523E-10,5.23631E-09
1.57899E-12,7.84766E-11,2.29673E-08
1.76752E-11,1.44525E-10,1.13084E-08
1.56187E-11,1.11653E-10,2.16236E-08
2.8126E-12,2.39472E-11,1.03323E-08
1.50281E-11,9.0927E-11,4.90965E-09
2.50807E-11,1.07039E-10,7.78447E-09
1.19278E-11,7.54772E-11,8.22272E-09
2.6073E-11,1.11457E-10,8.90698E-09
1.41962E-11,8.32346E-11,5.28785E-09
1.1461E-11,5.76884E-11,8.84828E-09
1.30695E-11,6.49277E-11,5.99218E-09
3.56971E-12,2.19404E-11,4.50736E-09
5.13882E-13,8.77262E-12,3.55424E-09
8.32656E-12,4.45065E-11,5.83288E-10
6.32812E-12,3.00924E-11,2.74731E-09
2.87971E-13,1.32048E-11,8.00266E-10
5.98205E-12,2.3436E-11,2.34797E-09
1.30118E-12,4.66541E-12,2.21957E-09
3.89299E-13,4.95514E-12,2.03449E-09
1.2806E-12,5.29188E-12,7.30096E-10
1.02176E-12,8.90992E-12,1.25011E-09
1.6748E-12,1.23325E-11,1.12938E-09
2.784E-13,8.75591E-13,7.03745E-10
7.80712E-13,6.84385E-12,6.30341E-10
7.88453E-14,4.34937E-12,3.95843E-10
5.99889E-13,4.47461E-12,2.95725E-10
5.47274E-14,8.37821E-13,3.53788E-10
