PeLPA0,PeLPA20,PeLPA40
4.89149E-07,2.76109E-06,6.04124E-05
8.24875E-07,3.81192E-06,9.54196E-05
5.07688E-08,1.22445E-06,3.53851E-05
6.20749E-07,3.56126E-06,4.32167E-05
5.45555E-07,2.38182E-06,6.14055E-05
2.05321E-07,1.61461E-06,3.97556E-05
5.7878E-08,6.7002E-08,3.74928E-05
3.54E-08,4.52E-07,2.77E-05
4.04065E-07,1.85335E-06,6.54445E-05
3.22795E-07,1.44144E-06,4.98707E-05
1.47326E-07,8.23671E-07,3.23973E-05
2.22057E-07,1.22166E-06,4.04321E-05
1.02174E-08,5.67913E-07,1.18341E-05
2.45289E-07,1.26414E-06,2.88782E-05
2.17E-08,1.02E-07,1.25E-05
7.0452E-08,3.66613E-07,1.45148E-05
1.66865E-07,9.19092E-07,2.30364E-05
1.23908E-07,5.55326E-07,1.45849E-05
7.69844E-09,1.21751E-07,8.48135E-06
6.37431E-09,1.44838E-07,8.76027E-06
6.27126E-08,3.98057E-07,8.42373E-06
3.04594E-08,2.04125E-07,5.68368E-06
5.90E-09,8.58E-08,9.06E-06
6.37874E-08,2.94213E-07,1.05936E-05
1.47779E-09,5.95798E-08,5.36352E-06
1.84994E-08,1.02349E-07,5.73695E-06
3.1451E-08,1.57508E-07,8.5563E-06
3.19487E-09,2.04404E-08,7.28169E-06
1.43004E-08,6.89882E-08,3.90649E-06
2.15557E-08,1.02061E-07,5.78154E-06
9.28284E-09,5.96145E-08,1.96194E-06
1.60149E-09,9.30858E-09,2.50006E-06
8.3411E-10,1.02093E-08,3.18586E-06
8.3828E-09,4.24646E-08,3.24011E-06
1.94407E-08,8.78473E-08,3.82844E-06
1.92729E-09,3.1494E-09,1.03936E-06
9.94E-09,5.26E-08,7.50E-07
4.4105E-09,2.1969E-08,2.20074E-06
3.11038E-10,6.76573E-09,6.28241E-08
4.24117E-09,2.13993E-08,3.54025E-07
4.78177E-10,5.1266E-09,1.24585E-06
4.35259E-10,1.96479E-09,1.63249E-06
3.77E-09,1.80E-08,1.64E-06
3.19113E-09,1.91307E-08,6.33057E-07
2.75401E-09,1.48673E-08,1.66424E-06
2.57314E-09,1.25365E-08,1.33633E-06
3.27E-10,1.94E-09,5.84E-07
2.32506E-09,1.11311E-08,9.1654E-07
2.10633E-09,1.02343E-08,5.78326E-07
1.81E-09,9.74E-09,4.93E-07
3.21E-09,1.49E-08,5.95E-07
3.65453E-09,1.62288E-08,4.23609E-07
1.88612E-09,8.36553E-09,3.05169E-07
7.96083E-10,3.87388E-09,3.40244E-07
7.12923E-10,3.25365E-09,5.32838E-07
1.70855E-09,7.54855E-09,3.3445E-07
5.10922E-10,2.0545E-09,3.17472E-07
8.02921E-10,3.73498E-09,2.92658E-07
3.51169E-10,2.30015E-09,1.04085E-07
3.33172E-10,1.82728E-09,3.91117E-07
2.94149E-10,1.66601E-09,2.01481E-07
1.78897E-11,2.76682E-10,5.41939E-08
4.62812E-10,2.40848E-09,3.45038E-08
3.75206E-10,1.76483E-09,9.05362E-08
8.4075E-12,2.62853E-10,1.1491E-07
3.12619E-10,1.58798E-09,6.99646E-08
2.59447E-10,1.15096E-09,1.44693E-07
1.56794E-11,2.10758E-10,2.08154E-08
1.08482E-11,8.08221E-11,8.68055E-08
2.85412E-10,1.39744E-09,4.53658E-08
7.95029E-11,3.37233E-10,7.16305E-08
1.30949E-10,7.13774E-10,5.5945E-08
1.56157E-10,7.67091E-10,4.38776E-08
8.99216E-12,5.29296E-11,3.88025E-08
8.21188E-11,4.5998E-10,2.48818E-08
