PeLPA0,PeLPA20,PeLPA40,,
9.958,9.881,9.799,,
9.956,9.903,9.896,,
9.953,9.915,9.853,,
10,9.944,9.884,,
10,9.993,9.895,,
10,10,9.989,,
10,10,10,,
10,10,10,,
10,10,10,,
10,10,10,,
