PeLPA0,PeLPA20,PeLPA40,,
6.106,8.746,10.862,,
5.886,6.072,6.37,,
5.418,5.882,6.47,,
4.142,5.658,5.75,,
4.246,5.104,5.884,,
4.102,4.954,5.524,,
3.234,5.11,5.614,,
3.072,4.94,5.416,,
3.158,5.002,5.51,,
3.066,4.946,5.486,,
